t,red_count,red_fraction,iou,recall,precision,sample_id
0.25999999999999995,0,0.0,0.0,0.0,0.0,8
0.27999999999999997,0,0.0,0.0,0.0,0.0,8
0.3,0,0.0,0.0,0.0,0.0,8
0.32,0,0.0,0.0,0.0,0.0,8
0.34,0,0.0,0.0,0.0,0.0,8
0.36000000000000004,0,0.0,0.0,0.0,0.0,8
0.38000000000000006,0,0.0,0.0,0.0,0.0,8
0.4000000000000001,0,0.0,0.0,0.0,0.0,8
0.4200000000000001,0,0.0,0.0,0.0,0.0,8
0.4400000000000001,0,0.0,0.0,0.0,0.0,8
0.46000000000000013,0,0.0,0.0,0.0,0.0,8
0.48000000000000015,0,0.0,0.0,0.0,0.0,8
0.5000000000000001,0,0.0,0.0,0.0,0.0,8
0.5200000000000001,0,0.0,0.0,0.0,0.0,8
0.5400000000000001,0,0.0,0.0,0.0,0.0,8
0.5600000000000002,0,0.0,0.0,0.0,0.0,8
0.5800000000000002,0,0.0,0.0,0.0,0.0,8
0.6000000000000002,0,0.0,0.0,0.0,0.0,8
0.6200000000000002,0,0.0,0.0,0.0,0.0,8
0.6400000000000002,0,0.0,0.0,0.0,0.0,8
0.6600000000000003,0,0.0,0.0,0.0,0.0,8
0.6800000000000003,0,0.0,0.0,0.0,0.0,8
0.7000000000000003,313,0.076416015625,0.3004975124378109,0.3038229376257545,0.9648562300319489,8
0.7200000000000003,934,0.22802734375,0.910802775024777,0.9245472837022133,0.9839400428265525,8
0.7400000000000003,940,0.2294921875,0.9167492566897919,0.9305835010060363,0.9840425531914894,8
0.7600000000000003,942,0.22998046875,0.9187314172447968,0.9325955734406438,0.9840764331210191,8
0.7800000000000004,944,0.23046875,0.9207135777998018,0.9346076458752515,0.9841101694915254,8
0.8000000000000004,945,0.230712890625,0.9217046580773043,0.9356136820925554,0.9841269841269841,8
0.8200000000000004,946,0.23095703125,0.9226957383548068,0.9366197183098591,0.9841437632135307,8
0.8400000000000004,947,0.231201171875,0.9236868186323092,0.937625754527163,0.9841605068637803,8
0.8600000000000004,948,0.2314453125,0.9246778989098117,0.9386317907444668,0.9841772151898734,8
0.8800000000000004,948,0.2314453125,0.9246778989098117,0.9386317907444668,0.9841772151898734,8
0.9000000000000005,948,0.2314453125,0.9246778989098117,0.9386317907444668,0.9841772151898734,8
0.9200000000000005,948,0.2314453125,0.9246778989098117,0.9386317907444668,0.9841772151898734,8
0.9400000000000005,948,0.2314453125,0.9246778989098117,0.9386317907444668,0.9841772151898734,8
0.9600000000000005,948,0.2314453125,0.9246778989098117,0.9386317907444668,0.9841772151898734,8
0.9800000000000005,948,0.2314453125,0.9246778989098117,0.9386317907444668,0.9841772151898734,8
1.0000000000000004,948,0.2314453125,0.9246778989098117,0.9386317907444668,0.9841772151898734,8
0.0,0,0.0,0.0,0.0,0.0,9
0.02,0,0.0,0.0,0.0,0.0,9
0.04,0,0.0,0.0,0.0,0.0,9
0.06,0,0.0,0.0,0.0,0.0,9
0.08,0,0.0,0.0,0.0,0.0,9
0.1,0,0.0,0.0,0.0,0.0,9
0.12000000000000001,0,0.0,0.0,0.0,0.0,9
0.14,0,0.0,0.0,0.0,0.0,9
0.16,0,0.0,0.0,0.0,0.0,9
0.18,0,0.0,0.0,0.0,0.0,9
0.19999999999999998,0,0.0,0.0,0.0,0.0,9
0.21999999999999997,0,0.0,0.0,0.0,0.0,9
0.23999999999999996,0,0.0,0.0,0.0,0.0,9
0.25999999999999995,0,0.0,0.0,0.0,0.0,9
0.27999999999999997,0,0.0,0.0,0.0,0.0,9
0.3,0,0.0,0.0,0.0,0.0,9
0.32,0,0.0,0.0,0.0,0.0,9
0.34,0,0.0,0.0,0.0,0.0,9
0.36000000000000004,0,0.0,0.0,0.0,0.0,9
0.38000000000000006,0,0.0,0.0,0.0,0.0,9
0.4000000000000001,0,0.0,0.0,0.0,0.0,9
0.4200000000000001,0,0.0,0.0,0.0,0.0,9
0.4400000000000001,0,0.0,0.0,0.0,0.0,9
0.46000000000000013,0,0.0,0.0,0.0,0.0,9
0.48000000000000015,0,0.0,0.0,0.0,0.0,9
0.5000000000000001,0,0.0,0.0,0.0,0.0,9
0.5200000000000001,0,0.0,0.0,0.0,0.0,9
0.5400000000000001,0,0.0,0.0,0.0,0.0,9
0.5600000000000002,0,0.0,0.0,0.0,0.0,9
0.5800000000000002,0,0.0,0.0,0.0,0.0,9
0.6000000000000002,0,0.0,0.0,0.0,0.0,9
0.6200000000000002,0,0.0,0.0,0.0,0.0,9
0.6400000000000002,0,0.0,0.0,0.0,0.0,9
0.6600000000000003,0,0.0,0.0,0.0,0.0,9
0.6800000000000003,0,0.0,0.0,0.0,0.0,9
0.7000000000000003,319,0.077880859375,0.31584158415841584,0.31584158415841584,1.0,9
0.7200000000000003,1010,0.24658203125,1.0,1.0,1.0,9
0.7400000000000003,1010,0.24658203125,1.0,1.0,1.0,9
0.7600000000000003,1010,0.24658203125,1.0,1.0,1.0,9
0.7800000000000004,1010,0.24658203125,1.0,1.0,1.0,9
0.8000000000000004,1010,0.24658203125,1.0,1.0,1.0,9
0.8200000000000004,1010,0.24658203125,1.0,1.0,1.0,9
0.8400000000000004,1010,0.24658203125,1.0,1.0,1.0,9
0.8600000000000004,1010,0.24658203125,1.0,1.0,1.0,9
0.8800000000000004,1010,0.24658203125,1.0,1.0,1.0,9
0.9000000000000005,1010,0.24658203125,1.0,1.0,1.0,9
0.9200000000000005,1010,0.24658203125,1.0,1.0,1.0,9
0.9400000000000005,1010,0.24658203125,1.0,1.0,1.0,9
0.9600000000000005,1010,0.24658203125,1.0,1.0,1.0,9
0.9800000000000005,1010,0.24658203125,1.0,1.0,1.0,9
1.0000000000000004,1010,0.24658203125,1.0,1.0,1.0,9
0.0,0,0.0,0.0,0.0,0.0,10
0.02,0,0.0,0.0,0.0,0.0,10
0.04,0,0.0,0.0,0.0,0.0,10
0.06,0,0.0,0.0,0.0,0.0,10
0.08,0,0.0,0.0,0.0,0.0,10
0.1,0,0.0,0.0,0.0,0.0,10
0.12000000000000001,0,0.0,0.0,0.0,0.0,10
0.14,0,0.0,0.0,0.0,0.0,10
0.16,0,0.0,0.0,0.0,0.0,10
0.18,0,0.0,0.0,0.0,0.0,10
0.19999999999999998,0,0.0,0.0,0.0,0.0,10
0.21999999999999997,0,0.0,0.0,0.0,0.0,10
0.23999999999999996,0,0.0,0.0,0.0,0.0,10
0.25999999999999995,0,0.0,0.0,0.0,0.0,10
0.27999999999999997,0,0.0,0.0,0.0,0.0,10
0.3,0,0.0,0.0,0.0,0.0,10
0.32,0,0.0,0.0,0.0,0.0,10
0.34,0,0.0,0.0,0.0,0.0,10
0.36000000000000004,0,0.0,0.0,0.0,0.0,10
0.38000000000000006,0,0.0,0.0,0.0,0.0,10
0.4000000000000001,0,0.0,0.0,0.0,0.0,10
0.4200000000000001,0,0.0,0.0,0.0,0.0,10
0.4400000000000001,0,0.0,0.0,0.0,0.0,10
0.46000000000000013,0,0.0,0.0,0.0,0.0,10
0.48000000000000015,0,0.0,0.0,0.0,0.0,10
0.5000000000000001,0,0.0,0.0,0.0,0.0,10
0.5200000000000001,0,0.0,0.0,0.0,0.0,10
0.5400000000000001,0,0.0,0.0,0.0,0.0,10
0.5600000000000002,0,0.0,0.0,0.0,0.0,10
0.5800000000000002,0,0.0,0.0,0.0,0.0,10
0.6000000000000002,0,0.0,0.0,0.0,0.0,10
0.6200000000000002,0,0.0,0.0,0.0,0.0,10
0.6400000000000002,0,0.0,0.0,0.0,0.0,10
0.6600000000000003,0,0.0,0.0,0.0,0.0,10
0.6800000000000003,0,0.0,0.0,0.0,0.0,10
0.7000000000000003,146,0.03564453125,0.22121212121212122,0.22121212121212122,1.0,10
0.7200000000000003,660,0.1611328125,1.0,1.0,1.0,10
0.7400000000000003,660,0.1611328125,1.0,1.0,1.0,10
0.7600000000000003,660,0.1611328125,1.0,1.0,1.0,10
0.7800000000000004,660,0.1611328125,1.0,1.0,1.0,10
0.8000000000000004,660,0.1611328125,1.0,1.0,1.0,10
0.8200000000000004,660,0.1611328125,1.0,1.0,1.0,10
0.8400000000000004,660,0.1611328125,1.0,1.0,1.0,10
0.8600000000000004,660,0.1611328125,1.0,1.0,1.0,10
0.8800000000000004,660,0.1611328125,1.0,1.0,1.0,10
0.9000000000000005,660,0.1611328125,1.0,1.0,1.0,10
0.9200000000000005,660,0.1611328125,1.0,1.0,1.0,10
0.9400000000000005,660,0.1611328125,1.0,1.0,1.0,10
0.9600000000000005,660,0.1611328125,1.0,1.0,1.0,10
0.9800000000000005,660,0.1611328125,1.0,1.0,1.0,10
1.0000000000000004,660,0.1611328125,1.0,1.0,1.0,10
0.0,0,0.0,0.0,0.0,0.0,11
0.02,0,0.0,0.0,0.0,0.0,11
0.04,0,0.0,0.0,0.0,0.0,11
0.06,0,0.0,0.0,0.0,0.0,11
0.08,0,0.0,0.0,0.0,0.0,11
0.1,0,0.0,0.0,0.0,0.0,11
0.12000000000000001,0,0.0,0.0,0.0,0.0,11
0.14,0,0.0,0.0,0.0,0.0,11
0.16,0,0.0,0.0,0.0,0.0,11
0.18,0,0.0,0.0,0.0,0.0,11
0.19999999999999998,0,0.0,0.0,0.0,0.0,11
0.21999999999999997,0,0.0,0.0,0.0,0.0,11
0.23999999999999996,0,0.0,0.0,0.0,0.0,11
0.25999999999999995,0,0.0,0.0,0.0,0.0,11
0.27999999999999997,0,0.0,0.0,0.0,0.0,11
0.3,0,0.0,0.0,0.0,0.0,11
0.32,0,0.0,0.0,0.0,0.0,11
0.34,0,0.0,0.0,0.0,0.0,11
0.36000000000000004,0,0.0,0.0,0.0,0.0,11
0.38000000000000006,0,0.0,0.0,0.0,0.0,11
0.4000000000000001,0,0.0,0.0,0.0,0.0,11
0.4200000000000001,0,0.0,0.0,0.0,0.0,11
0.4400000000000001,0,0.0,0.0,0.0,0.0,11
0.46000000000000013,0,0.0,0.0,0.0,0.0,11
0.48000000000000015,0,0.0,0.0,0.0,0.0,11
0.5000000000000001,0,0.0,0.0,0.0,0.0,11
0.5200000000000001,0,0.0,0.0,0.0,0.0,11
0.5400000000000001,0,0.0,0.0,0.0,0.0,11
0.5600000000000002,0,0.0,0.0,0.0,0.0,11
0.5800000000000002,0,0.0,0.0,0.0,0.0,11
0.6000000000000002,0,0.0,0.0,0.0,0.0,11
0.6200000000000002,0,0.0,0.0,0.0,0.0,11
0.6400000000000002,0,0.0,0.0,0.0,0.0,11
0.6600000000000003,0,0.0,0.0,0.0,0.0,11
0.6800000000000003,0,0.0,0.0,0.0,0.0,11
0.7000000000000003,271,0.066162109375,0.23050556983718937,0.23090128755364808,0.992619926199262,11
0.7200000000000003,1203,0.293701171875,0.9684123025768911,1.0,0.9684123025768911,11
0.7400000000000003,1213,0.296142578125,0.9604286892003298,1.0,0.9604286892003298,11
0.7600000000000003,1213,0.296142578125,0.9604286892003298,1.0,0.9604286892003298,11
0.7800000000000004,1214,0.29638671875,0.9596375617792422,1.0,0.9596375617792422,11
0.8000000000000004,1214,0.29638671875,0.9596375617792422,1.0,0.9596375617792422,11
0.8200000000000004,1215,0.296630859375,0.9588477366255144,1.0,0.9588477366255144,11
0.8400000000000004,1215,0.296630859375,0.9588477366255144,1.0,0.9588477366255144,11
0.8600000000000004,1215,0.296630859375,0.9588477366255144,1.0,0.9588477366255144,11
0.8800000000000004,1215,0.296630859375,0.9588477366255144,1.0,0.9588477366255144,11
0.9000000000000005,1215,0.296630859375,0.9588477366255144,1.0,0.9588477366255144,11
0.9200000000000005,1215,0.296630859375,0.9588477366255144,1.0,0.9588477366255144,11
0.9400000000000005,1215,0.296630859375,0.9588477366255144,1.0,0.9588477366255144,11
0.9600000000000005,1215,0.296630859375,0.9588477366255144,1.0,0.9588477366255144,11
0.9800000000000005,1215,0.296630859375,0.9588477366255144,1.0,0.9588477366255144,11
1.0000000000000004,1215,0.296630859375,0.9588477366255144,1.0,0.9588477366255144,11
0.0,0,0.0,0.0,0.0,0.0,12
0.02,0,0.0,0.0,0.0,0.0,12
0.04,0,0.0,0.0,0.0,0.0,12
0.06,0,0.0,0.0,0.0,0.0,12
0.08,0,0.0,0.0,0.0,0.0,12
0.1,0,0.0,0.0,0.0,0.0,12
0.12000000000000001,0,0.0,0.0,0.0,0.0,12
0.14,0,0.0,0.0,0.0,0.0,12
0.16,0,0.0,0.0,0.0,0.0,12
0.18,0,0.0,0.0,0.0,0.0,12
0.19999999999999998,0,0.0,0.0,0.0,0.0,12
0.21999999999999997,0,0.0,0.0,0.0,0.0,12
0.23999999999999996,0,0.0,0.0,0.0,0.0,12
0.25999999999999995,0,0.0,0.0,0.0,0.0,12
0.27999999999999997,0,0.0,0.0,0.0,0.0,12
0.3,0,0.0,0.0,0.0,0.0,12
0.32,0,0.0,0.0,0.0,0.0,12
0.34,0,0.0,0.0,0.0,0.0,12
0.36000000000000004,0,0.0,0.0,0.0,0.0,12
0.38000000000000006,0,0.0,0.0,0.0,0.0,12
0.4000000000000001,0,0.0,0.0,0.0,0.0,12
0.4200000000000001,0,0.0,0.0,0.0,0.0,12
0.4400000000000001,0,0.0,0.0,0.0,0.0,12
0.46000000000000013,0,0.0,0.0,0.0,0.0,12
0.48000000000000015,0,0.0,0.0,0.0,0.0,12
0.5000000000000001,0,0.0,0.0,0.0,0.0,12
0.5200000000000001,0,0.0,0.0,0.0,0.0,12
0.5400000000000001,0,0.0,0.0,0.0,0.0,12
0.5600000000000002,0,0.0,0.0,0.0,0.0,12
0.5800000000000002,0,0.0,0.0,0.0,0.0,12
0.6000000000000002,0,0.0,0.0,0.0,0.0,12
0.6200000000000002,0,0.0,0.0,0.0,0.0,12
0.6400000000000002,0,0.0,0.0,0.0,0.0,12
0.6600000000000003,0,0.0,0.0,0.0,0.0,12
0.6800000000000003,0,0.0,0.0,0.0,0.0,12
0.7000000000000003,167,0.040771484375,0.28842832469775476,0.28842832469775476,1.0,12
0.7200000000000003,579,0.141357421875,1.0,1.0,1.0,12
0.7400000000000003,579,0.141357421875,1.0,1.0,1.0,12
0.7600000000000003,579,0.141357421875,1.0,1.0,1.0,12
0.7800000000000004,579,0.141357421875,1.0,1.0,1.0,12
0.8000000000000004,579,0.141357421875,1.0,1.0,1.0,12
0.8200000000000004,579,0.141357421875,1.0,1.0,1.0,12
0.8400000000000004,579,0.141357421875,1.0,1.0,1.0,12
0.8600000000000004,579,0.141357421875,1.0,1.0,1.0,12
0.8800000000000004,579,0.141357421875,1.0,1.0,1.0,12
0.9000000000000005,579,0.141357421875,1.0,1.0,1.0,12
0.9200000000000005,579,0.141357421875,1.0,1.0,1.0,12
0.9400000000000005,579,0.141357421875,1.0,1.0,1.0,12
0.9600000000000005,579,0.141357421875,1.0,1.0,1.0,12
0.9800000000000005,579,0.141357421875,1.0,1.0,1.0,12
1.0000000000000004,579,0.141357421875,1.0,1.0,1.0,12
0.0,0,0.0,0.0,0.0,0.0,13
0.02,0,0.0,0.0,0.0,0.0,13
0.04,0,0.0,0.0,0.0,0.0,13
0.06,0,0.0,0.0,0.0,0.0,13
0.08,0,0.0,0.0,0.0,0.0,13
0.1,0,0.0,0.0,0.0,0.0,13
0.12000000000000001,0,0.0,0.0,0.0,0.0,13
0.14,0,0.0,0.0,0.0,0.0,13
0.16,0,0.0,0.0,0.0,0.0,13
0.18,0,0.0,0.0,0.0,0.0,13
0.19999999999999998,0,0.0,0.0,0.0,0.0,13
0.21999999999999997,0,0.0,0.0,0.0,0.0,13
0.23999999999999996,0,0.0,0.0,0.0,0.0,13
0.25999999999999995,0,0.0,0.0,0.0,0.0,13
0.27999999999999997,0,0.0,0.0,0.0,0.0,13
0.3,0,0.0,0.0,0.0,0.0,13
0.32,0,0.0,0.0,0.0,0.0,13
0.34,0,0.0,0.0,0.0,0.0,13
0.36000000000000004,0,0.0,0.0,0.0,0.0,13
0.38000000000000006,0,0.0,0.0,0.0,0.0,13
0.4000000000000001,0,0.0,0.0,0.0,0.0,13
0.4200000000000001,0,0.0,0.0,0.0,0.0,13
0.4400000000000001,0,0.0,0.0,0.0,0.0,13
0.46000000000000013,0,0.0,0.0,0.0,0.0,13
0.48000000000000015,0,0.0,0.0,0.0,0.0,13
0.5000000000000001,0,0.0,0.0,0.0,0.0,13
0.5200000000000001,0,0.0,0.0,0.0,0.0,13
0.5400000000000001,0,0.0,0.0,0.0,0.0,13
0.5600000000000002,0,0.0,0.0,0.0,0.0,13
0.5800000000000002,0,0.0,0.0,0.0,0.0,13
0.6000000000000002,0,0.0,0.0,0.0,0.0,13
0.6200000000000002,0,0.0,0.0,0.0,0.0,13
0.6400000000000002,0,0.0,0.0,0.0,0.0,13
0.6600000000000003,0,0.0,0.0,0.0,0.0,13
0.6800000000000003,0,0.0,0.0,0.0,0.0,13
0.7000000000000003,212,0.0517578125,0.29322268326417705,0.29322268326417705,1.0,13
0.7200000000000003,723,0.176513671875,1.0,1.0,1.0,13
0.7400000000000003,723,0.176513671875,1.0,1.0,1.0,13
0.7600000000000003,723,0.176513671875,1.0,1.0,1.0,13
0.7800000000000004,723,0.176513671875,1.0,1.0,1.0,13
0.8000000000000004,723,0.176513671875,1.0,1.0,1.0,13
0.8200000000000004,723,0.176513671875,1.0,1.0,1.0,13
0.8400000000000004,723,0.176513671875,1.0,1.0,1.0,13
0.8600000000000004,723,0.176513671875,1.0,1.0,1.0,13
0.8800000000000004,723,0.176513671875,1.0,1.0,1.0,13
0.9000000000000005,723,0.176513671875,1.0,1.0,1.0,13
0.9200000000000005,723,0.176513671875,1.0,1.0,1.0,13
0.9400000000000005,723,0.176513671875,1.0,1.0,1.0,13
0.9600000000000005,723,0.176513671875,1.0,1.0,1.0,13
0.9800000000000005,723,0.176513671875,1.0,1.0,1.0,13
1.0000000000000004,723,0.176513671875,1.0,1.0,1.0,13
0.0,0,0.0,0.0,0.0,0.0,14
0.02,0,0.0,0.0,0.0,0.0,14
0.04,0,0.0,0.0,0.0,0.0,14
0.06,0,0.0,0.0,0.0,0.0,14
0.08,0,0.0,0.0,0.0,0.0,14
0.1,0,0.0,0.0,0.0,0.0,14
0.12000000000000001,0,0.0,0.0,0.0,0.0,14
0.14,0,0.0,0.0,0.0,0.0,14
0.16,0,0.0,0.0,0.0,0.0,14
0.18,0,0.0,0.0,0.0,0.0,14
0.19999999999999998,0,0.0,0.0,0.0,0.0,14
0.21999999999999997,0,0.0,0.0,0.0,0.0,14
0.23999999999999996,0,0.0,0.0,0.0,0.0,14
0.25999999999999995,0,0.0,0.0,0.0,0.0,14
0.27999999999999997,0,0.0,0.0,0.0,0.0,14
0.3,0,0.0,0.0,0.0,0.0,14
0.32,0,0.0,0.0,0.0,0.0,14
0.34,0,0.0,0.0,0.0,0.0,14
0.36000000000000004,0,0.0,0.0,0.0,0.0,14
0.38000000000000006,0,0.0,0.0,0.0,0.0,14
0.4000000000000001,0,0.0,0.0,0.0,0.0,14
0.4200000000000001,0,0.0,0.0,0.0,0.0,14
0.4400000000000001,0,0.0,0.0,0.0,0.0,14
0.46000000000000013,0,0.0,0.0,0.0,0.0,14
0.48000000000000015,0,0.0,0.0,0.0,0.0,14
0.5000000000000001,0,0.0,0.0,0.0,0.0,14
0.5200000000000001,0,0.0,0.0,0.0,0.0,14
